film_id,title,description,release_year,language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,category_id,actor_id
86,MATRIX SNOWMAN,A Action-Packed Saga of a Womanizer And a Woman who must Overcome a Student in California,2006,1,6,4.99,56,9.99,PG-13,"Commentaries,Deleted Scenes,Behind the Scenes",9,30
87,RINGS HEARTBREAKERS,A Amazing Yarn of a Sumo Wrestler And a Boat who must Conquer a Waitress in New Orleans,2006,1,5,0.99,58,17.99,G,"Trailers,Commentaries,Behind the Scenes",1,30
88,SILENCE KANE,A Emotional Drama of a Sumo Wrestler And a Dentist who must Confront a Sumo Wrestler in A Baloon,2006,1,7,0.99,67,23.99,R,"Trailers,Deleted Scenes,Behind the Scenes",12,30
89,STAGECOACH ARMAGEDDON,A Touching Display of a Pioneer And a Butler who must Chase a Car in California,2006,1,5,4.99,112,25.99,R,"Trailers,Deleted Scenes",1,30
90,VIRGINIAN PLUTO,A Emotional Panorama of a Dentist And a Crocodile who must Meet a Boy in Berlin,2006,1,5,0.99,164,22.99,R,Deleted Scenes,6,30
91,ACE GOLDFINGER,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,2006,1,3,4.99,48,12.99,G,"Trailers,Deleted Scenes",11,19
92,ADAPTATION HOLES,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,2006,1,7,2.99,50,18.99,NC-17,"Trailers,Deleted Scenes",6,19
93,CHINATOWN GLADIATOR,A Brilliant Panorama of a Technical Writer And a Lumberjack who must Escape a Butler in Ancient India,2006,1,7,4.99,61,24.99,PG,"Trailers,Commentaries,Deleted Scenes",13,19
94,CIRCUS YOUTH,A Thoughtful Drama of a Pastry Chef And a Dentist who must Pursue a Girl in A Baloon,2006,1,5,2.99,90,13.99,PG-13,"Trailers,Deleted Scenes,Behind the Scenes",3,19
95,CONTROL ANTHEM,A Fateful Documentary of a Robot And a Student who must Battle a Cat in A Monastery,2006,1,7,4.99,185,9.99,G,Commentaries,5,19
96,DARES PLUTO,A Fateful Story of a Robot And a Dentist who must Defeat a Astronaut in New Orleans,2006,1,7,2.99,89,16.99,PG-13,"Commentaries,Behind the Scenes",2,19
97,DARN FORRESTER,A Fateful Story of a A Shark And a Explorer who must Succumb a Technical Writer in A Jet Boat,2006,1,7,4.99,185,14.99,G,Deleted Scenes,1,19
98,DAZED PUNK,A Action-Packed Story of a Pioneer And a Technical Writer who must Discover a Forensic Psychologist in An Abandoned Amusement Park,2006,1,6,4.99,120,20.99,G,"Commentaries,Deleted Scenes",10,19
99,DYNAMITE TARZAN,A Intrepid Documentary of a Forensic Psychologist And a Mad Scientist who must Face a Explorer in A U-Boat,2006,1,4,0.99,141,27.99,PG-13,Deleted Scenes,4,19
100,HATE HANDICAP,A Intrepid Reflection of a Mad Scientist And a Pioneer who must Overcome a Hunter in The First Manned Space Station,2006,1,4,0.99,107,26.99,PG,"Trailers,Commentaries,Behind the Scenes",5,19
101,HOMICIDE PEACH,A Astounding Documentary of a Hunter And a Boy who must Confront a Boy in A MySQL Convention,2006,1,6,2.99,141,21.99,PG-13,Commentaries,8,19
102,JACKET FRISCO,A Insightful Reflection of a Womanizer And a Husband who must Conquer a Pastry Chef in A Baloon,2006,1,5,2.99,181,16.99,PG-13,"Trailers,Deleted Scenes,Behind the Scenes",7,19
103,JUMANJI BLADE,A Intrepid Yarn of a Husband And a Womanizer who must Pursue a Mad Scientist in New Orleans,2006,1,4,2.99,121,13.99,G,"Commentaries,Behind the Scenes",13,19
104,LAWLESS VISION,A Insightful Yarn of a Boy And a Sumo Wrestler who must Outgun a Car in The Outback,2006,1,6,4.99,181,29.99,G,"Deleted Scenes,Behind the Scenes",2,19
105,LEATHERNECKS DWARFS,A Fateful Reflection of a Dog And a Mad Cow who must Outrace a Teacher in An Abandoned Mine Shaft,2006,1,6,2.99,153,21.99,PG-13,"Trailers,Commentaries,Behind the Scenes",16,19
106,OSCAR GOLD,A Insightful Tale of a Database Administrator And a Dog who must Face a Madman in Soviet Georgia,2006,1,7,2.99,115,29.99,PG,Behind the Scenes,2,19
107,PELICAN COMFORTS,A Epic Documentary of a Boy And a Monkey who must Pursue a Astronaut in Berlin,2006,1,4,4.99,48,17.99,PG,"Commentaries,Deleted Scenes",6,19
108,PERSONAL LADYBUGS,A Epic Saga of a Hunter And a Technical Writer who must Conquer a Cat in Ancient Japan,2006,1,3,0.99,118,19.99,PG-13,"Deleted Scenes,Behind the Scenes",12,19
109,RAGING AIRPLANE,A Astounding Display of a Secret Agent And a Technical Writer who must Escape a Mad Scientist in A Jet Boat,2006,1,4,4.99,154,18.99,R,"Commentaries,Deleted Scenes",14,19
110,RUN PACIFIC,A Touching Tale of a Cat And a Pastry Chef who must Conquer a Pastry Chef in A MySQL Convention,2006,1,3,0.99,145,25.99,R,"Commentaries,Deleted Scenes,Behind the Scenes",13,19
111,RUNNER MADIGAN,A Thoughtful Documentary of a Crocodile And a Robot who must Outrace a Womanizer in The Outback,2006,1,6,0.99,101,27.99,NC-17,"Commentaries,Deleted Scenes,Behind the Scenes",12,19
112,SADDLE ANTITRUST,A Stunning Epistle of a Feminist And a A Shark who must Battle a Woman in An Abandoned Fun House,2006,1,7,2.99,80,10.99,PG-13,"Trailers,Deleted Scenes",5,19
113,SCORPION APOLLO,A Awe-Inspiring Documentary of a Technical Writer And a Husband who must Meet a Monkey in An Abandoned Fun House,2006,1,3,4.99,137,23.99,NC-17,"Commentaries,Deleted Scenes",7,19
114,SHAWSHANK BUBBLE,A Lacklusture Story of a Moose And a Monkey who must Confront a Butler in An Abandoned Amusement Park,2006,1,6,4.99,80,20.99,PG,"Commentaries,Deleted Scenes",16,19
115,TAXI KICK,A Amazing Epistle of a Girl And a Woman who must Outrace a Waitress in Soviet Georgia,2006,1,4,0.99,64,23.99,PG-13,"Commentaries,Deleted Scenes",12,19
116,ADAPTATION HOLES,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,2006,1,7,2.99,50,18.99,NC-17,"Trailers,Deleted Scenes",6,2
117,APACHE DIVINE,A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat,2006,1,5,4.99,92,16.99,NC-17,"Commentaries,Deleted Scenes,Behind the Scenes",8,2
118,BABY HALL,A Boring Character Study of a A Shark And a Girl who must Outrace a Feminist in An Abandoned Mine Shaft,2006,1,5,4.99,153,23.99,NC-17,Commentaries,9,2
119,BULL SHAWSHANK,A Fanciful Drama of a Moose And a Squirrel who must Conquer a Pioneer in The Canadian Rockies,2006,1,6,0.99,125,21.99,NC-17,Deleted Scenes,1,2
120,CHAINSAW UPTOWN,A Beautiful Documentary of a Boy And a Robot who must Discover a Squirrel in Australia,2006,1,6,0.99,114,25.99,PG,"Deleted Scenes,Behind the Scenes",14,2
121,CHISUM BEHAVIOR,A Epic Documentary of a Sumo Wrestler And a Butler who must Kill a Car in Ancient India,2006,1,5,4.99,124,25.99,G,"Trailers,Commentaries,Behind the Scenes",8,2
122,DESTINY SATURDAY,A Touching Drama of a Crocodile And a Crocodile who must Conquer a Explorer in Soviet Georgia,2006,1,4,4.99,56,20.99,G,"Trailers,Commentaries,Behind the Scenes",13,2
123,DRACULA CRYSTAL,A Thrilling Reflection of a Feminist And a Cat who must Find a Frisbee in An Abandoned Fun House,2006,1,7,0.99,176,26.99,G,Commentaries,4,2
124,FIGHT JAWBREAKER,A Intrepid Panorama of a Womanizer And a Girl who must Escape a Girl in A Manhattan Penthouse,2006,1,3,0.99,91,13.99,R,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2,2
125,FLASH WARS,A Astounding Saga of a Moose And a Pastry Chef who must Chase a Student in The Gulf of Mexico,2006,1,3,4.99,123,21.99,NC-17,"Trailers,Commentaries,Behind the Scenes",13,2
126,GILBERT PELICAN,A Fateful Tale of a Man And a Feminist who must Conquer a Crocodile in A Manhattan Penthouse,2006,1,7,0.99,114,13.99,G,"Trailers,Commentaries",4,2
127,GOODFELLAS SALUTE,A Unbelieveable Tale of a Dog And a Explorer who must Sink a Mad Cow in A Baloon Factory,2006,1,4,4.99,56,22.99,PG,Deleted Scenes,14,2
128,HAPPINESS UNITED,A Action-Packed Panorama of a Husband And a Feminist who must Meet a Forensic Psychologist in Ancient Japan,2006,1,6,2.99,100,23.99,G,Deleted Scenes,9,2
129,INDIAN LOVE,A Insightful Saga of a Mad Scientist And a Mad Scientist who must Kill a Astronaut in An Abandoned Fun House,2006,1,4,0.99,135,26.99,NC-17,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",8,2
130,JEKYLL FROGMEN,A Fanciful Epistle of a Student And a Astronaut who must Kill a Waitress in A Shark Tank,2006,1,4,2.99,58,22.99,PG,"Commentaries,Deleted Scenes,Behind the Scenes",13,2
131,JERSEY SASSY,A Lacklusture Documentary of a Madman And a Mad Cow who must Find a Feminist in Ancient Japan,2006,1,6,4.99,60,16.99,PG,"Deleted Scenes,Behind the Scenes",3,2
132,LIAISONS SWEET,A Boring Drama of a A Shark And a Explorer who must Redeem a Waitress in The Canadian Rockies,2006,1,5,4.99,140,15.99,PG,"Commentaries,Behind the Scenes",16,2
133,LUCKY FLYING,A Lacklusture Character Study of a A Shark And a Man who must Find a Forensic Psychologist in A U-Boat,2006,1,7,2.99,97,10.99,PG-13,"Trailers,Commentaries,Behind the Scenes",12,2
134,MAGUIRE APACHE,A Fast-Paced Reflection of a Waitress And a Hunter who must Defeat a Forensic Psychologist in A Baloon,2006,1,6,2.99,74,22.99,NC-17,"Trailers,Commentaries",8,2
135,MALLRATS UNITED,A Thrilling Yarn of a Waitress And a Dentist who must Find a Hunter in A Monastery,2006,1,4,0.99,133,25.99,PG,"Trailers,Commentaries,Deleted Scenes",5,2
136,MASK PEACH,A Boring Character Study of a Student And a Robot who must Meet a Woman in California,2006,1,6,2.99,123,26.99,NC-17,"Commentaries,Deleted Scenes",13,2
137,ROOF CHAMPION,A Lacklusture Reflection of a Car And a Explorer who must Find a Monkey in A Baloon,2006,1,7,0.99,101,25.99,R,"Deleted Scenes,Behind the Scenes",10,2
138,RUSHMORE MERMAID,A Boring Story of a Woman And a Moose who must Reach a Husband in A Shark Tank,2006,1,6,2.99,150,17.99,PG-13,"Trailers,Commentaries,Deleted Scenes",5,2
139,SMILE EARRING,A Intrepid Drama of a Teacher And a Butler who must Build a Pastry Chef in Berlin,2006,1,4,2.99,60,29.99,G,"Commentaries,Behind the Scenes",16,2
140,WARDROBE PHANTOM,A Action-Packed Display of a Mad Cow And a Astronaut who must Kill a Car in Ancient India,2006,1,6,2.99,178,19.99,G,"Trailers,Commentaries",7,2
141,ADAPTATION HOLES,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,2006,1,7,2.99,50,18.99,NC-17,"Trailers,Deleted Scenes",6,24
142,BLUES INSTINCT,A Insightful Documentary of a Boat And a Composer who must Meet a Forensic Psychologist in An Abandoned Fun House,2006,1,5,2.99,50,18.99,G,"Trailers,Deleted Scenes,Behind the Scenes",8,24
143,CALENDAR GUNFIGHT,A Thrilling Drama of a Frisbee And a Lumberjack who must Sink a Man in Nigeria,2006,1,4,4.99,120,22.99,NC-17,"Trailers,Commentaries,Behind the Scenes",9,24
